Stationsnummer;Name des Projektionssystems;Rechtswert (lokal);Hochwert (lokal);Projektionssystem gültig ab;Höhe;Höhensystem;Name der hydrologischen Einheit;Einzugsgebietsnummer;Einzugsgebietsname
UR1201-EB267;CH1903+ / LV95;2691593.616;1192633.603;01.01.1950 00:00;459.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB268;CH1903+ / LV95;2691400.613;1192646.6;01.01.1950 00:00;453.43;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB269;CH1903+ / LV95;2690620.618;1194184.615;01.01.1950 00:00;436.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB270;CH1903+ / LV95;2690635.618;1194195.615;01.01.1950 00:00;436.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB271;CH1903+ / LV95;2691836.623;1192803.611;01.01.1950 00:00;464.26;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB272;CH1903+ / LV95;2691282.62;1193395.611;01.01.1950 00:00;442.95;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB273;CH1903+ / LV95;2690554.62;1194452.618;01.01.1950 00:00;436.12;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB274;CH1903+ / LV95;2692102.624;1192512.61;01.01.1950 00:00;475.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB275;CH1903+ / LV95;2692114.625;1192526.611;01.01.1950 00:00;475.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB276;CH1903+ / LV95;2691420.612;1192569.599;01.01.1950 00:00;455;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB277;CH1903+ / LV95;2691258.617;1193158.606;01.01.1950 00:00;441.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB278;CH1903+ / LV95;2691308.617;1193143.607;01.01.1950 00:00;446.05;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB279;CH1903+ / LV95;2691280.616;1193114.606;01.01.1950 00:00;441;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB280;CH1903+ / LV95;2691230.616;1193115.605;01.01.1950 00:00;444.17;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB281;CH1903+ / LV95;2691210.616;1193165.606;01.01.1950 00:00;440.83;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB282;CH1903+ / LV95;2691195.615;1193099.604;01.01.1950 00:00;443.6;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB283;CH1903+ / LV95;2691668.621;1192857.608;01.01.1950 00:00;457.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB284;CH1903+ / LV95;2690840.603;1192393.595;01.01.1950 00:00;446;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB285;CH1903+ / LV95;2691299.619;1193269.609;01.01.1950 00:00;444.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB286;CH1903+ / LV95;2690926.598;1191588.588;01.01.1950 00:00;451;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB287;CH1903+ / LV95;2690965.603;1192239.593;01.01.1950 00:00;449.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB289;CH1903+ / LV95;2690812.604;1192503.597;01.01.1950 00:00;445.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB290;CH1903+ / LV95;2690801.604;1192505.597;01.01.1950 00:00;445.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB291;CH1903+ / LV95;2691828.616;1192281.601;01.01.1950 00:00;470;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB292;CH1903+ / LV95;2691762.623;1192947.612;01.01.1950 00:00;457.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB293;CH1903+ / LV95;2691559.62;1193001.609;01.01.1950 00:00;452.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES701;CH1903+ / LV95;2692500.634;1192699.621;01.01.1950 00:00;515;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES702;CH1903+ / LV95;2691810.617;1192359.602;01.01.1950 00:00;468.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES703;CH1903+ / LV95;2691925.619;1192324.604;01.01.1950 00:00;473;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES704;CH1903+ / LV95;2691355.62;1193269.61;01.01.1950 00:00;445;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES705;CH1903+ / LV95;2691795.622;1192745.609;01.01.1950 00:00;462;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES706;CH1903+ / LV95;2691869.619;1192426.604;01.01.1950 00:00;470;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES707;CH1903+ / LV95;2692480.63;1192385.615;01.01.1950 00:00;492;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES708;CH1903+ / LV95;2692006.626;1192775.613;01.01.1950 00:00;469;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES709;CH1903+ / LV95;2691790.626;1193150.616;01.01.1950 00:00;467;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES710;CH1903+ / LV95;2690591.617;1194135.615;01.01.1950 00:00;436.75;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES711;CH1903+ / LV95;2691846.619;1192464.605;01.01.1950 00:00;468.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES712;CH1903+ / LV95;2691876.624;1192796.611;01.01.1950 00:00;463.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES713;CH1903+ / LV95;2691305.602;1191831.585;01.01.1950 00:00;458;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES714;CH1903+ / LV95;2691909.619;1192333.603;01.01.1950 00:00;472;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES715;CH1903+ / LV95;2691634.625;1193279.615;01.01.1950 00:00;464;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES716;CH1903+ / LV95;2690816.619;1194018.614;01.01.1950 00:00;437;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES717;CH1903+ / LV95;2690688.617;1193999.612;01.01.1950 00:00;437;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES718;CH1903+ / LV95;2691044.606;1192533.594;01.01.1950 00:00;450;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES719;CH1903+ / LV95;2692080.628;1192879.616;01.01.1950 00:00;465.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-ES720;CH1903+ / LV95;2691121.607;1192542.593;01.01.1950 00:00;450;Landesnivellementnetz 1902;;104621;Axen
