Stationsname;Stationsnummer;Messortname;Name der Zeitzone;Langname;Name Verwaltungseinheit;Vorgänger;Nachfolger;Stationsausprägung
Unter-Sack (Chalkerlis);UR1211-Q1070;Isenthal;W. Europe Standard Time;Unter-Sack (Chalkerlis);Uri;;;GW_STATION_HAND|GW_STATION
Sack;UR1211-Q1071;Isenthal;W. Europe Standard Time;Sack;Uri;;;GW_STATION_HAND|GW_STATION
Riedgarten;UR1211-Q1072;Isenthal;W. Europe Standard Time;Riedgarten;Uri;;;GW_STATION_HAND|GW_STATION
Oberer Riedgarten;UR1211-Q1073;Isenthal;W. Europe Standard Time;Oberer Riedgarten;Uri;;;GW_STATION_HAND|GW_STATION
Mittst-Baberg;UR1211-Q1074;Isenthal;W. Europe Standard Time;Mittst-Baberg;Uri;;;GW_STATION_HAND|GW_STATION
Unter Gämschfeld;UR1211-Q1075;Isenthal;W. Europe Standard Time;Unter Gämschfeld;Uri;;;GW_STATION_HAND|GW_STATION
Ob Ober-Furggelen;UR1211-Q1076;Isenthal;W. Europe Standard Time;Ob Ober-Furggelen;Uri;;;GW_STATION_HAND|GW_STATION
Obere Furggelen;UR1211-Q1077;Isenthal;W. Europe Standard Time;Obere Furggelen;Uri;;;GW_STATION_HAND|GW_STATION
Obere Furggelen;UR1211-Q1078;Isenthal;W. Europe Standard Time;Obere Furggelen;Uri;;;GW_STATION_HAND|GW_STATION
Unter Furggelen;UR1211-Q1079;Isenthal;W. Europe Standard Time;Unter Furggelen;Uri;;;GW_STATION_HAND|GW_STATION
Gietisflue;UR1211-Q1080;Isenthal;W. Europe Standard Time;Gietisflue;Uri;;;GW_STATION_HAND|GW_STATION
Gietisflue;UR1211-Q1081;Isenthal;W. Europe Standard Time;Gietisflue;Uri;;;GW_STATION_HAND|GW_STATION
Rüteli (Rütene);UR1211-Q1082;Isenthal;W. Europe Standard Time;Rüteli (Rütene);Uri;;;GW_STATION_HAND|GW_STATION
Vorder Wang;UR1211-Q1083;Isenthal;W. Europe Standard Time;Vorder Wang;Uri;;;GW_STATION_HAND|GW_STATION
Vorder-Wang (Gaden);UR1211-Q1084;Isenthal;W. Europe Standard Time;Vorder-Wang (Gaden);Uri;;;GW_STATION_HAND|GW_STATION
Hinter-Wang;UR1211-Q1085;Isenthal;W. Europe Standard Time;Hinter-Wang;Uri;;;GW_STATION_HAND|GW_STATION
Oberberg;UR1211-Q1086;Isenthal;W. Europe Standard Time;Oberberg;Uri;;;GW_STATION_HAND|GW_STATION
Ronenrüti;UR1211-Q1087;Isenthal;W. Europe Standard Time;Ronenrüti;Uri;;;GW_STATION_HAND|GW_STATION
Neiberg;UR1211-Q1088;Isenthal;W. Europe Standard Time;Neiberg;Uri;;;GW_STATION_HAND|GW_STATION
Brand;UR1211-Q1089;Isenthal;W. Europe Standard Time;Brand;Uri;;;GW_STATION_HAND|GW_STATION
Breitsiten;UR1211-Q1090;Isenthal;W. Europe Standard Time;Breitsiten;Uri;;;GW_STATION_HAND|GW_STATION
Hinter-Schwäntelen;UR1211-Q1091;Isenthal;W. Europe Standard Time;Hinter-Schwäntelen;Uri;;;GW_STATION_HAND|GW_STATION
Schwäntelen (Gaden);UR1211-Q1092;Isenthal;W. Europe Standard Time;Schwäntelen (Gaden);Uri;;;GW_STATION_HAND|GW_STATION
Vordere Schwäntlen;UR1211-Q1093;Isenthal;W. Europe Standard Time;Vordere Schwäntlen;Uri;;;GW_STATION_HAND|GW_STATION
Siti;UR1211-Q1094;Isenthal;W. Europe Standard Time;Siti;Uri;;;GW_STATION_HAND|GW_STATION
Siti;UR1211-Q1095;Isenthal;W. Europe Standard Time;Siti;Uri;;;GW_STATION_HAND|GW_STATION
Flue;UR1211-Q1096;Isenthal;W. Europe Standard Time;Flue;Uri;;;GW_STATION_HAND|GW_STATION
Mättli;UR1211-Q1097;Isenthal;W. Europe Standard Time;Mättli;Uri;;;GW_STATION_HAND|GW_STATION
Schartihöreli;UR1211-Q1098;Isenthal;W. Europe Standard Time;Schartihöreli;Uri;;;GW_STATION_HAND|GW_STATION
Untere Bärchi;UR1211-Q1099;Isenthal;W. Europe Standard Time;Untere Bärchi;Uri;;;GW_STATION_HAND|GW_STATION
Obere Bärchi;UR1211-Q1100;Isenthal;W. Europe Standard Time;Obere Bärchi;Uri;;;GW_STATION_HAND|GW_STATION
Obere Bärchi (Band);UR1211-Q1101;Isenthal;W. Europe Standard Time;Obere Bärchi (Band);Uri;;;GW_STATION_HAND|GW_STATION
Gunzig;UR1211-Q1102;Isenthal;W. Europe Standard Time;Gunzig;Uri;;;GW_STATION_HAND|GW_STATION
Gunzig;UR1211-Q1103;Isenthal;W. Europe Standard Time;Gunzig;Uri;;;GW_STATION_HAND|GW_STATION
Acherli;UR1211-Q1104;Isenthal;W. Europe Standard Time;Acherli;Uri;;;GW_STATION_HAND|GW_STATION
Heissrüti;UR1211-Q1105;Isenthal;W. Europe Standard Time;Heissrüti;Uri;;;GW_STATION_HAND|GW_STATION
Chilenrüti;UR1211-Q1106;Isenthal;W. Europe Standard Time;Chilenrüti;Uri;;;GW_STATION_HAND|GW_STATION
Usser Birchi;UR1211-Q1107;Isenthal;W. Europe Standard Time;Usser Birchi;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1108;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1109;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1110;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1112;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1113;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1114;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1115;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Gitschenen / Geissboden;UR1211-Q1116;Isenthal;W. Europe Standard Time;Gitschenen / Geissboden;Uri;;;GW_STATION_HAND|GW_STATION
Unter Bolgen / Chälenbach;UR1211-Q5001;Isenthal;W. Europe Standard Time;Unter Bolgen / Chälenbach;Uri;;;GW_STATION_HAND
Chneiwisloch;UR1211-Q5002;Isenthal;W. Europe Standard Time;Chneiwisloch;Uri;;;GW_STATION_HAND
Oberes Lauwelital (Bach);UR1211-Q5003;Isenthal;W. Europe Standard Time;Oberes Lauwelital (Bach);Uri;;;GW_STATION_HAND
Chneiwisloch;UR1211-Q5004;Isenthal;W. Europe Standard Time;Chneiwisloch;Uri;;;GW_STATION_HAND
Oberes Chneiwisloch;UR1211-Q5005;Isenthal;W. Europe Standard Time;Oberes Chneiwisloch;Uri;;;GW_STATION_HAND
Horlachen (unter Gitschen);UR1211-Q5006;Isenthal;W. Europe Standard Time;Horlachen (unter Gitschen);Uri;;;GW_STATION_HAND
Bodmi;UR1211-Q5007;Isenthal;W. Europe Standard Time;Bodmi;Uri;;;GW_STATION_HAND
Schluecht;UR1211-Q5008;Isenthal;W. Europe Standard Time;Schluecht;Uri;;;GW_STATION_HAND
Gossalp;UR1211-Q5009;Isenthal;W. Europe Standard Time;Gossalp;Uri;;;GW_STATION_HAND
Hundwaldtobel;UR1211-Q5010;Isenthal;W. Europe Standard Time;Hundwaldtobel;Uri;;;GW_STATION_HAND
Gossalp-Brücke;UR1211-Q5011;Isenthal;W. Europe Standard Time;Gossalp-Brücke;Uri;;;GW_STATION_HAND
Bösenboden;UR1211-Q5012;Isenthal;W. Europe Standard Time;Bösenboden;Uri;;;GW_STATION_HAND
Langboden;UR1211-Q5013;Isenthal;W. Europe Standard Time;Langboden;Uri;;;GW_STATION_HAND
Vordere Schwäntlen;UR1211-Q5014;Isenthal;W. Europe Standard Time;Vordere Schwäntlen;Uri;;;GW_STATION_HAND
Vordere Schwäntlen;UR1211-Q5015;Isenthal;W. Europe Standard Time;Vordere Schwäntlen;Uri;;;GW_STATION_HAND
Untere Bärchi;UR1211-Q5016;Isenthal;W. Europe Standard Time;Untere Bärchi;Uri;;;GW_STATION_HAND
Stäfeli;UR1211-Q5017;Isenthal;W. Europe Standard Time;Stäfeli;Uri;;;GW_STATION_HAND
Portrüti/Wissenberg;UR1211-Q5018;Isenthal;W. Europe Standard Time;Portrüti/Wissenberg;Uri;;;GW_STATION_HAND
Wissigli;UR1211-Q5019;Isenthal;W. Europe Standard Time;Wissigli;Uri;;;GW_STATION_HAND
Wissigli;UR1211-Q5020;Isenthal;W. Europe Standard Time;Wissigli;Uri;;;GW_STATION_HAND
Hintere Bärchi;UR1211-Q5021;Isenthal;W. Europe Standard Time;Hintere Bärchi;Uri;;;GW_STATION_HAND
Allmend (Nähe Gunzig);UR1211-Q5022;Isenthal;W. Europe Standard Time;Allmend (Nähe Gunzig);Uri;;;GW_STATION_HAND
Sack;UR1211-Q5023;Isenthal;W. Europe Standard Time;Sack;Uri;;;GW_STATION_HAND
Sack;UR1211-Q5024;Isenthal;W. Europe Standard Time;Sack;Uri;;;GW_STATION_HAND
Lauwelital;UR1211-Q5025;Isenthal;W. Europe Standard Time;Lauwelital;Uri;;;GW_STATION_HAND
Gross Zug;UR1211-Q5026;Isenthal;W. Europe Standard Time;Gross Zug;Uri;;;GW_STATION_HAND
Heuplanggen;UR1211-Q5027;Isenthal;W. Europe Standard Time;Heuplanggen;Uri;;;GW_STATION_HAND
Baberger Flue;UR1211-Q5028;Isenthal;W. Europe Standard Time;Baberger Flue;Uri;;;GW_STATION_HAND
Mittlerer Baberg;UR1211-Q5029;Isenthal;W. Europe Standard Time;Mittlerer Baberg;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5030;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5031;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5032;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5033;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5034;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5036;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5037;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5038;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5039;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Seelisbergtunnel Los Büel;UR1211-Q5040;Isenthal;W. Europe Standard Time;Seelisbergtunnel Los Büel;Uri;;;GW_STATION_HAND
Vordere Schwäntlen;UR1211-Q5041;Isenthal;W. Europe Standard Time;Vordere Schwäntlen;Uri;;;GW_STATION_HAND
Tiefenbach;UR1212-Q1001;Realp;W. Europe Standard Time;Tiefenbach;Uri;;;GW_STATION_HAND|GW_STATION
Steinbergen;UR1212-Q1002;Realp;W. Europe Standard Time;Steinbergen;Uri;;;GW_STATION_HAND|GW_STATION
Steinbergen;UR1212-Q1003;Realp;W. Europe Standard Time;Steinbergen;Uri;;;GW_STATION_HAND|GW_STATION
Steinbergen;UR1212-Q1004;Realp;W. Europe Standard Time;Steinbergen;Uri;;;GW_STATION_HAND|GW_STATION
Laui;UR1212-Q1005;Realp;W. Europe Standard Time;Laui;Uri;;;GW_STATION_HAND|GW_STATION
Wichel;UR1212-Q1006;Realp;W. Europe Standard Time;Wichel;Uri;;;GW_STATION_HAND|GW_STATION
Schweig;UR1212-Q1007;Realp;W. Europe Standard Time;Schweig;Uri;;;GW_STATION_HAND|GW_STATION
Schweig;UR1212-Q1008;Realp;W. Europe Standard Time;Schweig;Uri;;;GW_STATION_HAND|GW_STATION
Schweig;UR1212-Q1009;Realp;W. Europe Standard Time;Schweig;Uri;;;GW_STATION_HAND|GW_STATION
Feld;UR1212-Q1010;Realp;W. Europe Standard Time;Feld;Uri;;;GW_STATION_HAND|GW_STATION
Alt Stafel;UR1212-Q1011;Realp;W. Europe Standard Time;Alt Stafel;Uri;;;GW_STATION_HAND|GW_STATION
Steinstafel;UR1212-Q1012;Realp;W. Europe Standard Time;Steinstafel;Uri;;;GW_STATION_HAND|GW_STATION
Hostetten;UR1212-Q1013;Realp;W. Europe Standard Time;Hostetten;Uri;;;GW_STATION_HAND|GW_STATION
Riedboden;UR1212-Q1014;Realp;W. Europe Standard Time;Riedboden;Uri;;;GW_STATION_HAND|GW_STATION
Galenbödmen;UR1212-Q1015;Realp;W. Europe Standard Time;Galenbödmen;Uri;;;GW_STATION_HAND|GW_STATION
Schluechtbielen;UR1212-Q1016;Realp;W. Europe Standard Time;Schluechtbielen;Uri;;;GW_STATION_HAND|GW_STATION
beim Skilift, Haldi;UR1213-Q1001;Schattdorf;W. Europe Standard Time;beim Skilift, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
beim unteren Skilift, Haldi;UR1213-Q1002;Schattdorf;W. Europe Standard Time;beim unteren Skilift, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
Unter Ribenen, Haldi;UR1213-Q1003;Schattdorf;W. Europe Standard Time;Unter Ribenen, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
Ribenen, Haldi;UR1213-Q1004;Schattdorf;W. Europe Standard Time;Ribenen, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
Kapelle, Haldi;UR1213-Q1005;Schattdorf;W. Europe Standard Time;Kapelle, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
Frankrichwald, Haldi;UR1213-Q1006;Schattdorf;W. Europe Standard Time;Frankrichwald, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
ob Süesberg, Haldi;UR1213-Q1007;Schattdorf;W. Europe Standard Time;ob Süesberg, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
ob Süesberg, Haldi;UR1213-Q1008;Schattdorf;W. Europe Standard Time;ob Süesberg, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
Pfaffenwald;UR1213-Q1009;Schattdorf;W. Europe Standard Time;Pfaffenwald;Uri;;;GW_STATION_HAND|GW_STATION
Pfaffenwald;UR1213-Q1010;Schattdorf;W. Europe Standard Time;Pfaffenwald;Uri;;;GW_STATION_HAND|GW_STATION
Wesch;UR1213-Q1011;Schattdorf;W. Europe Standard Time;Wesch;Uri;;;GW_STATION_HAND|GW_STATION
Wesch;UR1213-Q1012;Schattdorf;W. Europe Standard Time;Wesch;Uri;;;GW_STATION_HAND|GW_STATION
Luggschwand;UR1213-Q1013;Schattdorf;W. Europe Standard Time;Luggschwand;Uri;;;GW_STATION_HAND|GW_STATION
Luggschwand;UR1213-Q1014;Schattdorf;W. Europe Standard Time;Luggschwand;Uri;;;GW_STATION_HAND|GW_STATION
Luggschwand;UR1213-Q1015;Schattdorf;W. Europe Standard Time;Luggschwand;Uri;;;GW_STATION_HAND|GW_STATION
Luggschwand;UR1213-Q1016;Schattdorf;W. Europe Standard Time;Luggschwand;Uri;;;GW_STATION_HAND|GW_STATION
Luggschwand-Stall;UR1213-Q1017;Schattdorf;W. Europe Standard Time;Luggschwand-Stall;Uri;;;GW_STATION_HAND|GW_STATION
oberes Acherli;UR1213-Q1018;Schattdorf;W. Europe Standard Time;oberes Acherli;Uri;;;GW_STATION_HAND|GW_STATION
Acherli;UR1213-Q1019;Schattdorf;W. Europe Standard Time;Acherli;Uri;;;GW_STATION_HAND|GW_STATION
Lehnbach, oberes Wickerig;UR1213-Q1020;Schattdorf;W. Europe Standard Time;Lehnbach, oberes Wickerig;Uri;;;GW_STATION_HAND|GW_STATION
Lehnbach, oberes Wickerig;UR1213-Q1021;Schattdorf;W. Europe Standard Time;Lehnbach, oberes Wickerig;Uri;;;GW_STATION_HAND|GW_STATION
ob Acherli;UR1213-Q1022;Schattdorf;W. Europe Standard Time;ob Acherli;Uri;;;GW_STATION_HAND|GW_STATION
Lehn;UR1213-Q1023;Schattdorf;W. Europe Standard Time;Lehn;Uri;;;GW_STATION_HAND|GW_STATION
Lehn;UR1213-Q1024;Schattdorf;W. Europe Standard Time;Lehn;Uri;;;GW_STATION_HAND|GW_STATION
Lehn;UR1213-Q1025;Schattdorf;W. Europe Standard Time;Lehn;Uri;;;GW_STATION_HAND|GW_STATION
Unteres Figstuel;UR1213-Q1026;Schattdorf;W. Europe Standard Time;Unteres Figstuel;Uri;;;GW_STATION_HAND|GW_STATION
Bruederhus;UR1213-Q1027;Schattdorf;W. Europe Standard Time;Bruederhus;Uri;;;GW_STATION_HAND|GW_STATION
Burg;UR1213-Q1028;Bürglen (UR);W. Europe Standard Time;Burg;Uri;;;GW_STATION_HAND|GW_STATION
Burg;UR1213-Q1029;Schattdorf;W. Europe Standard Time;Burg;Uri;;;GW_STATION_HAND|GW_STATION
Stock;UR1213-Q1030;Schattdorf;W. Europe Standard Time;Stock;Uri;;;GW_STATION_HAND|GW_STATION
Stock;UR1213-Q1031;Schattdorf;W. Europe Standard Time;Stock;Uri;;;GW_STATION_HAND|GW_STATION
Haseli;UR1213-Q1032;Schattdorf;W. Europe Standard Time;Haseli;Uri;;;GW_STATION_HAND|GW_STATION
Haseli;UR1213-Q1033;Schattdorf;W. Europe Standard Time;Haseli;Uri;;;GW_STATION_HAND|GW_STATION
Süessbergbach;UR1213-Q1034;Schattdorf;W. Europe Standard Time;Süessbergbach;Uri;;;GW_STATION_HAND|GW_STATION
Süessbergbach;UR1213-Q1035;Schattdorf;W. Europe Standard Time;Süessbergbach;Uri;;;GW_STATION_HAND|GW_STATION
Haseli, Gampelenweg;UR1213-Q1036;Schattdorf;W. Europe Standard Time;Haseli, Gampelenweg;Uri;;;GW_STATION_HAND|GW_STATION
Gampelen;UR1213-Q1037;Schattdorf;W. Europe Standard Time;Gampelen;Uri;;;GW_STATION_HAND|GW_STATION
Gampelen;UR1213-Q1038;Schattdorf;W. Europe Standard Time;Gampelen;Uri;;;GW_STATION_HAND|GW_STATION
Grosstalbach, Süessberg;UR1213-Q1039;Schattdorf;W. Europe Standard Time;Grosstalbach, Süessberg;Uri;;;GW_STATION_HAND|GW_STATION
Schiltwald;UR1213-Q1040;Schattdorf;W. Europe Standard Time;Schiltwald;Uri;;;GW_STATION_HAND|GW_STATION
Schilt;UR1213-Q1041;Schattdorf;W. Europe Standard Time;Schilt;Uri;;;GW_STATION_HAND|GW_STATION
Bruderhus;UR1213-Q1042;Schattdorf;W. Europe Standard Time;Bruderhus;Uri;;;GW_STATION_HAND|GW_STATION
Unteres Teiftal;UR1213-Q1043;Schattdorf;W. Europe Standard Time;Unteres Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Unteres Teiftal;UR1213-Q1044;Schattdorf;W. Europe Standard Time;Unteres Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1045;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1046;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1047;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1048;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1049;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1050;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1051;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal, Talacherli;UR1213-Q1052;Schattdorf;W. Europe Standard Time;Teiftal, Talacherli;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1053;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftalbach;UR1213-Q1054;Schattdorf;W. Europe Standard Time;Teiftalbach;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1055;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1056;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1057;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1058;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1059;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1060;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1061;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1062;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1063;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Teiftal;UR1213-Q1064;Schattdorf;W. Europe Standard Time;Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Chriesbäumli, Teiftal;UR1213-Q1065;Schattdorf;W. Europe Standard Time;Chriesbäumli, Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Oberes Teiftal;UR1213-Q1066;Schattdorf;W. Europe Standard Time;Oberes Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Oberes Teiftal;UR1213-Q1067;Schattdorf;W. Europe Standard Time;Oberes Teiftal;Uri;;;GW_STATION_HAND|GW_STATION
Unter-Stafel;UR1213-Q1068;Schattdorf;W. Europe Standard Time;Unter-Stafel;Uri;;;GW_STATION_HAND|GW_STATION
Untere Stafel;UR1213-Q1069;Schattdorf;W. Europe Standard Time;Untere Stafel;Uri;;;GW_STATION_HAND|GW_STATION
Stafel;UR1213-Q1070;Schattdorf;W. Europe Standard Time;Stafel;Uri;;;GW_STATION_HAND|GW_STATION
Butzenstein;UR1213-Q1071;Schattdorf;W. Europe Standard Time;Butzenstein;Uri;;;GW_STATION_HAND|GW_STATION
Reki (Ricki);UR1213-Q1072;Schattdorf;W. Europe Standard Time;Reki (Ricki);Uri;;;GW_STATION_HAND|GW_STATION
Ob Gampeten;UR1213-Q1073;Schattdorf;W. Europe Standard Time;Ob Gampeten;Uri;;;GW_STATION_HAND|GW_STATION
Pfaffenwald, Haldi;UR1213-Q1074;Schattdorf;W. Europe Standard Time;Pfaffenwald, Haldi;Uri;;;GW_STATION_HAND|GW_STATION
Oberhalb Gamplen;UR1213-Q1075;Schattdorf;W. Europe Standard Time;Oberhalb Gamplen;Uri;;;GW_STATION_HAND|GW_STATION
Bärenwäldli;UR1213-Q1076;Schattdorf;W. Europe Standard Time;Bärenwäldli;Uri;;;GW_STATION_HAND|GW_STATION
Haldi;UR1213-Q5001;Schattdorf;W. Europe Standard Time;Haldi;Uri;;;GW_STATION_HAND
Hals;UR1213-Q5002;Schattdorf;W. Europe Standard Time;Hals;Uri;;;GW_STATION_HAND
Wesch;UR1213-Q5003;Schattdorf;W. Europe Standard Time;Wesch;Uri;;;GW_STATION_HAND
Wickerig-Bach;UR1213-Q5004;Schattdorf;W. Europe Standard Time;Wickerig-Bach;Uri;;;GW_STATION_HAND
Gräbchan;UR1213-Q5005;Schattdorf;W. Europe Standard Time;Gräbchan;Uri;;;GW_STATION_HAND
Unter Hermang, Haldi;UR1213-Q5006;Schattdorf;W. Europe Standard Time;Unter Hermang, Haldi;Uri;;;GW_STATION_HAND
unter Gampelen;UR1213-Q5007;Schattdorf;W. Europe Standard Time;unter Gampelen;Uri;;;GW_STATION_HAND
Haldi;UR1213-Q5008;Schattdorf;W. Europe Standard Time;Haldi;Uri;;;GW_STATION_HAND
Figstuel;UR1213-Q5009;Schattdorf;W. Europe Standard Time;Figstuel;Uri;;;GW_STATION_HAND
Figstuel;UR1213-Q5010;Schattdorf;W. Europe Standard Time;Figstuel;Uri;;;GW_STATION_HAND
Figstuel;UR1213-Q5011;Schattdorf;W. Europe Standard Time;Figstuel;Uri;;;GW_STATION_HAND
Bannwald, Haldi;UR1213-Q5012;Schattdorf;W. Europe Standard Time;Bannwald, Haldi;Uri;;;GW_STATION_HAND
Rot Plangg;UR1213-Q5013;Schattdorf;W. Europe Standard Time;Rot Plangg;Uri;;;GW_STATION_HAND
Grosstal;UR1213-Q5014;Schattdorf;W. Europe Standard Time;Grosstal;Uri;;;GW_STATION_HAND
Grosstal;UR1213-Q5015;Schattdorf;W. Europe Standard Time;Grosstal;Uri;;;GW_STATION_HAND
Rickitalbach;UR1213-Q5016;Schattdorf;W. Europe Standard Time;Rickitalbach;Uri;;;GW_STATION_HAND
Oberes Grosstal;UR1213-Q5017;Schattdorf;W. Europe Standard Time;Oberes Grosstal;Uri;;;GW_STATION_HAND
Rickital;UR1213-Q5018;Schattdorf;W. Europe Standard Time;Rickital;Uri;;;GW_STATION_HAND
Rickital / Grosstal;UR1213-Q5019;Schattdorf;W. Europe Standard Time;Rickital / Grosstal;Uri;;;GW_STATION_HAND
Unter Ricki;UR1213-Q5020;Schattdorf;W. Europe Standard Time;Unter Ricki;Uri;;;GW_STATION_HAND
Gross Pfaffen;UR1214-Q1001;Seedorf (UR);W. Europe Standard Time;Gross Pfaffen;Uri;;;GW_STATION_HAND|GW_STATION
Talberg;UR1214-Q1002;Seedorf (UR);W. Europe Standard Time;Talberg;Uri;;;GW_STATION_HAND|GW_STATION
Talberg;UR1214-Q1003;Seedorf (UR);W. Europe Standard Time;Talberg;Uri;;;GW_STATION_HAND|GW_STATION
Rütli;UR1214-Q1004;Seedorf (UR);W. Europe Standard Time;Rütli;Uri;;;GW_STATION_HAND|GW_STATION
Rütli;UR1214-Q1005;Seedorf (UR);W. Europe Standard Time;Rütli;Uri;;;GW_STATION_HAND|GW_STATION
Stockbergli;UR1214-Q1006;Seedorf (UR);W. Europe Standard Time;Stockbergli;Uri;;;GW_STATION_HAND|GW_STATION
Schopfli;UR1214-Q1007;Seedorf (UR);W. Europe Standard Time;Schopfli;Uri;;;GW_STATION_HAND|GW_STATION
Honegg;UR1214-Q1008;Seedorf (UR);W. Europe Standard Time;Honegg;Uri;;;GW_STATION_HAND|GW_STATION
Honegg;UR1214-Q1009;Seedorf (UR);W. Europe Standard Time;Honegg;Uri;;;GW_STATION_HAND|GW_STATION
Honegg;UR1214-Q1010;Seedorf (UR);W. Europe Standard Time;Honegg;Uri;;;GW_STATION_HAND|GW_STATION
Bortgaden;UR1214-Q1011;Seedorf (UR);W. Europe Standard Time;Bortgaden;Uri;;;GW_STATION_HAND|GW_STATION
